,gen,best,mean,std,solution
188,35.0,82.10000000000002,55.95320000000002,11.136322272635617,3
189,36.0,82.10000000000002,56.520400000000016,12.50529743108896,3
190,37.0,82.10000000000002,56.35880000000003,11.810608052086062,3
191,38.0,82.10000000000002,57.151000000000025,11.296750107885016,3
192,39.0,82.10000000000002,56.04280000000004,15.730216278233435,3
193,40.0,82.10000000000002,57.72400000000004,12.982280847370397,3
194,41.0,82.10000000000002,56.402600000000035,14.785271767539488,3
195,42.0,82.10000000000002,58.67240000000003,9.067209837651273,3
196,43.0,82.10000000000002,57.920400000000036,11.033972260251522,3
197,44.0,82.10000000000002,59.30560000000002,10.095748047569337,3
198,45.0,82.10000000000002,60.06240000000003,7.602507102265678,3
199,46.0,82.10000000000002,61.069400000000044,6.915331057874241,3
200,47.0,82.10000000000002,59.149200000000036,10.21182115785427,3
201,48.0,82.10000000000002,58.304200000000044,10.998051934774637,3
202,49.0,82.10000000000002,57.494600000000034,12.657568441055343,3
203,50.0,82.10000000000002,58.07140000000003,11.61970025603071,3
204,0.0,61.460000000000036,11.815800000000019,13.413320929583403,4
205,1.0,71.04000000000005,17.133000000000024,19.403058186791075,4
206,2.0,71.04000000000005,23.75140000000002,23.406497944801572,4
207,3.0,71.04000000000005,26.833600000000025,23.872679762439752,4
208,4.0,71.04000000000005,28.16460000000002,23.159083203788537,4
209,5.0,71.04000000000005,30.950400000000027,23.672533194400646,4
210,6.0,71.04000000000005,35.089400000000026,24.26346215279263,4
211,7.0,71.04000000000005,36.17680000000003,25.169912788088883,4
212,8.0,71.04000000000005,41.41700000000002,22.78668951383681,4
213,9.0,71.04000000000005,41.233600000000024,24.10781929250343,4
214,10.0,71.04000000000005,46.25040000000003,20.529504325238843,4
215,11.0,71.04000000000005,44.68800000000003,23.356861261736356,4
216,12.0,71.04000000000005,46.346000000000025,21.889134747632227,4
217,13.0,71.04000000000005,46.727000000000025,20.863243348051142,4
218,14.0,93.40000000000003,47.93480000000003,20.213292778763194,4
219,15.0,93.40000000000003,45.352000000000025,22.193464263156407,4
220,16.0,93.40000000000003,51.29880000000003,18.25732725674819,4
